Player,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Garrett Cooper,2022-07-11,MIA,PIT,2,DH,1,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250
Garrett Cooper,2022-07-10,MIA,@NYM,3,1B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,.000
Garrett Cooper,2022-07-09,MIA,@NYM,2,DH,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000
Garrett Cooper,2022-07-08,MIA,@NYM,3,1B,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
Garrett Cooper,2022-07-07,MIA,@NYM,3,DH,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Garrett Cooper,2022-07-06,MIA,LAA,3,1B,1,3,4,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,.000
Garrett Cooper,2022-07-05,MIA,LAA,2,DH,1,3,4,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,.333
Garrett Cooper,2022-07-03,MIA,@WSN,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Garrett Cooper,2022-07-02,MIA,@WSN,2,DH,1,4,5,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,.250
Garrett Cooper,2022-07-01,MIA,@WSN,3,1B,1,5,5,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,.600
Garrett Cooper,2022-06-29,MIA,@STL,2,1B,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333
Garrett Cooper,2022-06-28,MIA,@STL,4,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Garrett Cooper,2022-06-27,MIA,@STL,2,1B,1,3,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.000
Garrett Cooper,2022-06-26,MIA,NYM,3,DH,1,3,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.000
Garrett Cooper,2022-06-25,MIA,NYM,2,1B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Garrett Cooper,2022-06-24,MIA,NYM,4,DH,1,3,4,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,.333
Garrett Cooper,2022-06-23,MIA,COL,4,1B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Garrett Cooper,2022-06-22,MIA,COL,4,DH,1,4,4,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.500
Garrett Cooper,2022-06-21,MIA,COL,2,1B,1,5,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,.200
Garrett Cooper,2022-06-20,MIA,@NYM,4,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Garrett Cooper,2022-06-18,MIA,@NYM,4,DH,1,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.250
Garrett Cooper,2022-06-17,MIA,@NYM,2,1B,1,4,5,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.500
Garrett Cooper,2022-06-14,MIA,@PHI,2,1B,1,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.200
Garrett Cooper,2022-06-13,MIA,@PHI,2,1B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Garrett Cooper,2022-06-10,MIA,@HOU,2,1B,1,2,4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,.000
Garrett Cooper,2022-06-09,MIA,WSN,2,DH,1,3,4,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,.667
Garrett Cooper,2022-06-08,MIA,WSN,2,1B,1,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.600
Garrett Cooper,2022-06-07,MIA,WSN,2,DH,1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,.400
Garrett Cooper,2022-06-05,MIA,SFG,2,DH,1,4,4,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.500
Garrett Cooper,2022-06-04,MIA,SFG,2,1B,1,4,4,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.500
Garrett Cooper,2022-06-03,MIA,SFG,2,DH-1B,1,5,5,3,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,.600
Garrett Cooper,2022-06-01,MIA,@COL,2,DH,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
Garrett Cooper,2022-06-01,MIA,@COL,2,1B,1,6,6,3,2,1,0,0,2,3,0,0,2,0,0,0,0,0,0,.500
Garrett Cooper,2022-05-30,MIA,@COL,2,DH,1,4,4,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,.500
Garrett Cooper,2022-05-29,MIA,@ATL,4,1B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000
Garrett Cooper,2022-05-28,MIA,@ATL,2,1B,1,4,5,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,.500
Garrett Cooper,2022-05-27,MIA,@ATL,2,DH,1,4,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.500
Garrett Cooper,2022-05-25,MIA,@TBR,1,1B,1,4,5,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.250
Garrett Cooper,2022-05-24,MIA,@TBR,1,DH,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
Garrett Cooper,2022-05-22,MIA,ATL,3,DH,1,2,4,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,.000
Garrett Cooper,2022-05-21,MIA,ATL,2,1B,1,4,5,3,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,.750
Garrett Cooper,2022-05-20,MIA,ATL,6,PH,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000
Garrett Cooper,2022-05-18,MIA,WSN,3,1B,1,4,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,.000
Garrett Cooper,2022-05-17,MIA,WSN,3,DH,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
Garrett Cooper,2022-05-16,MIA,WSN,4,1B,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,.250
Garrett Cooper,2022-05-14,MIA,MIL,4,1B,1,4,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,.000
Garrett Cooper,2022-05-13,MIA,MIL,4,DH,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333
Garrett Cooper,2022-05-11,MIA,@ARI,2,1B,1,4,5,2,1,1,0,0,2,0,1,0,2,0,0,0,0,0,0,.500
Garrett Cooper,2022-05-10,MIA,@ARI,4,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Garrett Cooper,2022-05-09,MIA,@ARI,5,1B,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
Garrett Cooper,2022-05-08,MIA,@SDP,5,DH,1,2,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,.000
Garrett Cooper,2022-05-07,MIA,@SDP,3,1B,1,4,4,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,.500
Garrett Cooper,2022-05-06,MIA,@SDP,3,DH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Garrett Cooper,2022-05-05,MIA,@SDP,5,1B,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
Garrett Cooper,2022-05-04,MIA,ARI,4,DH,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
Garrett Cooper,2022-05-03,MIA,ARI,5,1B,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000
Garrett Cooper,2022-05-02,MIA,ARI,6,DH,1,3,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.333
Garrett Cooper,2022-05-01,MIA,SEA,2,1B,1,4,5,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.500
Garrett Cooper,2022-04-30,MIA,SEA,4,DH,1,3,4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,.000
Garrett Cooper,2022-04-28,MIA,@WSN,4,1B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.250
Garrett Cooper,2022-04-27,MIA,@WSN,6,DH,1,3,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.000
Garrett Cooper,2022-04-26,MIA,@WSN,6,DH,1,4,4,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,.500
Garrett Cooper,2022-04-24,MIA,@ATL,6,1B,1,4,5,3,2,1,0,0,1,2,1,0,1,0,0,0,0,0,0,.750
Garrett Cooper,2022-04-23,MIA,@ATL,9,PH,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.000
Garrett Cooper,2022-04-22,MIA,@ATL,2,1B,1,3,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.000
Garrett Cooper,2022-04-21,MIA,STL,2,DH,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Garrett Cooper,2022-04-20,MIA,STL,2,DH,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
Garrett Cooper,2022-04-19,MIA,STL,2,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,.000
Garrett Cooper,2022-04-16,MIA,PHI,2,1B,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
